label,index,nr_pix,rows_with_1,cols_with_1,rows_with_3p,cols_with_3p,aspect_ratio,neigh_1,no_neigh_above,no_neigh_below,no_neigh_left,no_neigh_right,no_neigh_horiz,no_neigh_vert,connected_areas,eyes,custom
smiley,1,23,3,4,4,4,0.888888889,4,10,11,12,11,8,6,4,0,0.224459797
smiley,2,27,3,4,5,6,1,3,11,12,10,11,9,9,4,0,0.943199833
smiley,3,23,1,4,4,3,1.125,2,10,12,9,9,6,6,4,0,0.509501636
smiley,4,17,2,4,3,3,1.142857143,2,9,8,8,7,8,8,4,0,0.47863243
smiley,5,33,2,2,6,7,1,3,8,12,11,11,7,4,4,0,0.802091012
smiley,6,29,2,4,5,7,1,4,9,12,12,11,9,7,4,0,0.899356041
smiley,7,25,2,2,5,5,1,6,8,7,10,8,13,9,4,0,0.171771582
smiley,8,27,3,4,2,5,0.909090909,8,9,10,15,16,18,7,4,0,0.339209951
smiley,9,20,1,5,1,4,0.888888889,8,8,8,12,12,15,7,4,0,0.320496633
smiley,10,26,2,2,5,5,0.888888889,4,10,9,11,12,9,5,4,0,0.120710813
smiley,11,42,2,1,8,8,0.769230769,6,10,12,14,14,12,9,4,0,0.949615558
smiley,12,39,0,2,5,6,0.769230769,8,8,9,27,28,31,5,4,0,0.386022071
smiley,13,30,3,2,5,5,0.636363636,4,9,11,15,15,9,5,4,0,0.046095802
smiley,14,20,2,1,2,3,0.555555556,5,5,7,12,12,12,3,4,0,0.556113012
smiley,15,27,1,1,4,4,0.888888889,2,9,11,10,10,7,3,4,0,0.940365794
smiley,16,35,0,2,7,8,0.9,4,11,11,15,15,13,8,4,0,0.139983906
smiley,17,18,1,5,3,1,1.428571429,4,8,9,6,7,9,10,4,0,0.751143275
smiley,18,40,0,4,7,6,1,8,9,9,23,23,28,8,4,0,0.194733231
smiley,19,29,0,3,5,6,1.5,4,14,12,10,8,9,11,4,0,0.929466743
smiley,20,20,0,3,4,1,1.428571429,4,8,8,9,9,13,8,4,0,0.406120292
xclaim,1,11,11,0,0,1,0,2,2,2,11,11,11,1,2,0,0.420564249
xclaim,2,18,9,0,3,3,0.153846154,2,4,4,12,12,9,0,2,0,0.79196758
xclaim,3,14,10,0,0,1,0.076923077,2,3,3,12,12,10,0,2,0,0.00973971
xclaim,4,17,11,0,2,1,0.153846154,2,4,4,13,13,11,0,2,0,0.511689217
xclaim,5,13,7,0,0,2,0.083333333,2,3,3,10,10,7,0,2,0,0.545965099
xclaim,6,15,9,0,0,2,0.083333333,1,2,3,11,10,9,0,2,0,0.320334828
xclaim,7,15,9,0,2,1,0.166666667,2,4,4,11,11,9,0,2,0,0.615169754
xclaim,8,19,10,0,3,3,0.142857143,2,4,4,13,13,10,0,2,0,0.125830066
xclaim,9,13,9,0,0,1,0.083333333,2,2,3,11,10,9,0,2,0,0.611601468
xclaim,10,22,8,0,2,2,0.214285714,2,3,5,11,11,8,0,2,0,0.397077293
xclaim,11,16,10,0,2,1,0.153846154,2,4,4,12,12,10,0,2,0,0.617271721
xclaim,12,16,11,1,1,1,0.142857143,2,4,3,13,12,11,1,2,0,0.280672584
xclaim,13,26,0,0,2,2,0.230769231,0,6,4,10,10,0,0,2,0,0.645048079
xclaim,14,26,0,0,0,2,0.071428571,0,4,4,13,13,0,0,2,0,0.647951668
xclaim,15,22,0,0,0,2,0.076923077,0,4,4,11,11,0,0,2,0,0.721984851
xclaim,16,15,9,0,2,1,0.166666667,2,4,4,11,11,9,0,2,0,0.655511765
xclaim,17,26,0,0,0,2,0.071428571,0,4,4,13,13,0,0,2,0,0.549782912
xclaim,18,16,10,0,2,1,0.153846154,2,2,4,11,11,10,0,2,0,0.316618534
xclaim,19,26,0,0,0,2,0.071428571,0,4,4,13,13,0,0,2,0,0.416402943
xclaim,20,10,10,0,0,1,0,2,2,2,10,10,10,1,2,0,0.403051917
